Ascot Vale Vline Station;Ascot Vale;McCully St / The Crescent , Ascot Vale 3032;-37.775310,144.921825
Sandringham Vline Station;Sandringham;Waltham St / Station St, Sandringham 3191;-37.950328,145.004566
Oak Park Vline Station;Oak Park;Snell Gr / Waterloo Rd, Oak Park 3046;-37.717949,144.921515
Boronia Vline Station;Boronia;Power Rd / Dorset Rd, Boronia 3155;-37.860453,145.284381
Hurstbridge Vline Station;Hurstbridge;Heidelberg-Kinglake Rd, Hurstbridge 3099;-37.639402,145.192012
Flemington Bridge Vline Station;North Melbourne;Racecourse Rd / Boundary Rd, North Melbourne 3051;-37.788137,144.939321
Macaulay Vline Station;North Melbourne;Macaulay Rd, North Melbourne 3051;-37.794263,144.936170
Hampton Vline Station;Hampton;Hampton St / Vline Cres, Hampton 3188;-37.937973,145.001466
Glen Waverley Vline Station;Glen Waverley;Glendale St / Coleman Pde, Glen Waverley 3150;-37.879502,145.162063
Syndal Vline Station;Glen Waverley;Fiander Ave / Coleman Pde, Glen Waverley 3150;-37.876228,145.149776
McKinnon Vline Station;Mckinnon;McKinnon Rd / Glen Orme Ave, Mckinnon 3204;-37.910306,145.038302
Albion Vline Station;Sunshine North;St Albans Rd, Sunshine North 3020;-37.777655,144.824709
Darebin Vline Station;Ivanhoe;Merton St / Heidelberg Rd, Ivanhoe 3079;-37.774962,145.038476
Ivanhoe Vline Station;Ivanhoe;Young St / Norman St, Ivanhoe 3079;-37.768898,145.045426
Moorabbin Vline Station;Moorabbin;South Rd / Station St, Moorabbin 3189;-37.934349,145.036739
Hallam Vline Station;Hallam;Hallam South Rd, Hallam 3803;-38.017743,145.269773
Laverton Vline Station;Laverton;Grace St / Vline Ave, Laverton 3028;-37.863693,144.772615
Aircraft Vline Station;Laverton;Aviation Rd / Vline Ave, Laverton 3028;-37.866602,144.760809
Glen Iris Vline Station;Glen Iris;High St / Wills St, Glen Iris 3146;-37.859306,145.058223
Burwood Vline Station;Glen Iris;Maverston St / Bardolph St, Glen Iris 3146;-37.851561,145.080508
Gardiner Vline Station;Glen Iris;Burke Rd, Glen Iris 3146;-37.853283,145.051660
Newport Vline Station;Newport;Mason St / Melbourne Rd, Newport 3015;-37.842714,144.883604
Elsternwick Vline Station;Elsternwick;Glen Huntly Rd / Horne St, Elsternwick 3185;-37.884752,145.000902
Stony Point Vline Station;Crib Point;Stony Point Rd, Crib Point 3919;-38.374238,145.221842
Crib Point Vline Station;Crib Point;Point Rd / Stony Point Rd, Crib Point 3919;-38.366120,145.204047
Morradoo Vline Station;Crib Point;Disney St / Campbell St, Crib Point 3919;-38.354035,145.189606
Eltham Vline Station;Eltham;Pryor St / Main Rd, Eltham 3095;-37.713552,145.147827
